symbol,message,datetime,user,message_id
AAPL,Recent Profitable Alerts for $QQQ and $AAPL are discussed: https://youtu.be/4ObWg9fdMBs?t=5m58s {video} #stocks #trading $XLK,2018-02-18T22:56:56Z,420549,113444438
AAPL,"$AAPL At Current Rates Of Use, World Could Run Out Of Thoughts And Prayers By As Early As 2019 
https://outabouter.com/2018/02/15/at-current-rates-of-use-world-could-run-out-of-thoughts-and-prayers-by-as-early-as-2019/",2018-02-18T22:19:35Z,439831,113443293
AAPL,"Amazon, Apple, Microsoft, Netflix May Fall, Tesla &amp; Broadcom May Rise $tsla $nflx $qcom $spy $aapl $msft $avgo $amzn https://mottcapitalmanagement.com/amazon-apple-microsoft-tesla-broadcom/",2018-02-18T22:16:21Z,945301,113443188
AAPL,$AAPL Projection of this weeks Apple chart,2018-02-18T22:09:21Z,1350495,113442952
AAPL,$AAPL markets closed tomorrow?,2018-02-18T22:05:30Z,859121,113442850
AAPL,$MSFT $AAPL one more blockchain platform for AI driven tech hiring http://jobguru.io/portfolio/index.html,2018-02-18T21:51:40Z,1355468,113442383
AAPL,$AAPL https://investoralmanac.com/2018/02/18/saber-capital-4q17-letter-2017-review-apple-and-tencent/,2018-02-18T21:44:53Z,264543,113442147
AAPL,$AAPL https://www.cnbc.com/2018/02/16/apple-aapl-stock-gbhs-dan-ives-says-the-panic-is-over.html,2018-02-18T21:34:45Z,1081655,113441776
AAPL,$AAPL enough about the HomePod white ring &amp; idiots walking into glass walls. Negative news campaign in order to bury positive articles.,2018-02-18T21:34:38Z,1081655,113441769
AAPL,"$UVXY $TVIX $SVXY $SPY $AAPL  https://youtu.be/WJsFKZLEN7E 
 
Please check out interview with Justin Mccarthy..",2018-02-18T21:33:11Z,624024,113441716
AAPL,$AAPL maybe but they have not priced in buying back 15-20% of float.,2018-02-18T21:15:31Z,795748,113441027
AAPL,$AAPL Hi guys ! Whats the outlook for $AAPL for coming week ?,2018-02-18T21:09:42Z,976971,113440826
AAPL,"$AAPL analysts on Estimize are expecting 20.25% YoY revenue growth for Q2, up from 12.69% in Q1 [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=historical&amp;metric_name=revenue&amp;utm_content=AAPL&amp;utm_medium=revenue_growth&amp;utm_source=stocktwits",2018-02-18T21:06:45Z,727510,113440715
AAPL,NYSE&#39;s Most Iconic Stockbroker Admits He&#39;s &quot;Never Owned A Share Of Stock In My Life&quot; $AAPL https://goo.gl/x883vv,2018-02-18T20:53:42Z,296805,113440236
AAPL,$AAPL Great summary of Saber Capital&#39;s 4Q17 letter -- long thesis for Apple https://investoralmanac.com/2018/02/18/saber-capital-4q17-letter-2017-review-apple-and-tencent/,2018-02-18T20:39:47Z,960715,113439790
AAPL,Why Warren Buffett Went Long on APPL.$AAPL with 81% gain since this Warrent Buffett&#39;s move and this bullish forecast  https://lnkd.in/erpeMYy,2018-02-18T20:34:00Z,1185614,113439588
AAPL,$AAPL 5 min algo grid. 1st try with TOS system,2018-02-18T20:31:04Z,159408,113439500
AAPL,$AAPL has a Profit Margin of 21.12%. This is amongst the best returns in the industry. The industry average is ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=PROFITABILITY&amp;utm_campaign=social_tracking#/AAPL?r=fa&amp;key=bb853040-a4ac-41c6-b549-d218d2f21b32,2018-02-18T20:30:05Z,47688,113439466
AAPL,$AAPL $QCOM Why Apple Might Not Use Qualcomm,2018-02-18T20:17:41Z,622780,113439061
AAPL,$AAPL Going up. Look how it touches and rides these levels up.,2018-02-18T20:14:46Z,1349057,113438952
AAPL,$SPY... $AAPL $AMZN $GOOG $IWM $IWC $IBB DON&quot;T FIGHT THE FED Lets&#39;s Get Ready for The WEEK AHEAD 2/19 to 2/23 https://youtu.be/YKcglhLDrjg,2018-02-18T20:10:47Z,125544,113438822
AAPL,"$AAPL nice run from 156 triple support, local support and resistance 178.5, 175.1, 171.6, and 168.1, analysis http://chart.st/AAPL",2018-02-18T19:50:58Z,82091,113438114
AAPL,"With their distribution and $285B in cash, gaming could be a place for Apple to put investment to work. $AAPL",2018-02-18T19:35:39Z,237666,113437525
AAPL,Games remains the largest category of apps in the Apple App Store. $AAPL,2018-02-18T19:35:28Z,237666,113437517
AAPL,$MU im still here waiting on $50! $When my  $AKER blows up adding to this solid puppy as well as my golden eggs $AAPL n $AMZN,2018-02-18T19:34:03Z,1246869,113437473
AAPL,"Amazon, Apple, Microsoft, Netflix May Fall, Tesla &amp; Broadcom May Rise $amzn $nflx $msft $tsla $aapl $bcom $qcom $spy https://mottcapitalmanagement.com/amazon-apple-microsoft-tesla-broadcom/",2018-02-18T19:29:55Z,945301,113437317
AAPL,"Next Week, $AAPL can define the sort term path for the rest of the stock market if it makes new marginal high #Elliottwave $NDX $SPX",2018-02-18T19:19:17Z,128933,113436881
AAPL,$AAPL Our members were aware that the cycle from 2016 was at bonus time after it reached extreme area and correction was coming #Elliottwave,2018-02-18T19:18:18Z,128933,113436846
AAPL,$AAPL Haw we saw it last week looking for the bounce higher to extend further toward $176 https://elliottwave-forecast.com #Elliottwave,2018-02-18T19:17:10Z,128933,113436804
AAPL,$AAPL Another leg higher would make it 5 waves from 02/09 and would open furtehr upside after 3 waves pullback #Elliottwave,2018-02-18T19:11:18Z,128933,113436581
AAPL,"$DJIA $BTC.X $FB $HD $AAPL $TWTR $AMZN $F Unbiased #Chart analytics at your request just #Follow &amp; ask, ANY CHART, I&#39;ll get to you! $STUDY",2018-02-18T19:09:40Z,1185933,113436496
AAPL,"$AAPL analysts on Estimize expect 6.8% YoY growth in iPhone Sales for Q2, up from -0.84% in previous year [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=change-over-time&amp;metric_name=iphone_unit_sales&amp;utm_content=AAPL&amp;utm_medium=metric_growth&amp;utm_source=stocktwits",2018-02-18T19:07:50Z,727510,113436416
AAPL,"$AAPL analysts on Estimize expect 6.11% YoY growth in Mac Sales for Q2, up from 4.09% in previous year [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=change-over-time&amp;metric_name=mac_unit_sales&amp;utm_content=AAPL&amp;utm_medium=metric_growth&amp;utm_source=stocktwits",2018-02-18T19:07:50Z,727510,113436415
AAPL,"$AAPL analysts on Estimize expect -3.94% YoY growth in iPad Sales for Q2, up from -13.17% in previous year [Reporting 05/01 AMC]
http://www.estimize.com/intro/aapl?chart=change-over-time&amp;metric_name=ipad_unit_sales&amp;utm_content=AAPL&amp;utm_medium=metric_growth&amp;utm_source=stocktwits",2018-02-18T19:05:21Z,727510,113436334
